m(slep) [GeV], m(LSP) [GeV], Ïƒ [fb]
90.0, 1.0, 1276.3
90.0, 30.0, 56785.2
100.0, 50.0, 19884.3
150.0, 90.0, 197.8
200.0, 100.0, 35.6
200.0, 140.0, 85.6
200.0, 150.0, 4221.6
200.0, 1.0, 15.6
250.0, 100.0, 13.4
250.0, 150.0, 3.7
250.0, 1.0, 7.3
250.0, 200.0, 839.2
300.0, 150.0, 1.2
300.0, 200.0, 3.6
300.0, 250.0, 755.0
350.0, 100.0, 0.5
350.0, 150.0, 0.6
350.0, 1.0, 0.5
350.0, 200.0, 1.1
350.0, 250.0, 3.3
350.0, 300.0, 245.2
400.0, 100.0, 0.4
400.0, 1.0, 0.4
400.0, 200.0, 0.6
400.0, 250.0, 0.9
400.0, 350.0, 250.2
450.0, 100.0, 0.4
450.0, 1.0, 0.3
450.0, 200.0, 0.5
450.0, 250.0, 0.6
450.0, 300.0, 0.9
450.0, 350.0, 2.8
450.0, 400.0, 90.3
500.0, 100.0, 0.3
500.0, 1.0, 0.3
500.0, 200.0, 0.4
500.0, 300.0, 0.5
500.0, 350.0, 0.9
500.0, 400.0, 3.0
550.0, 100.0, 0.3
550.0, 1.0, 0.3
550.0, 200.0, 0.3
550.0, 300.0, 0.4
550.0, 350.0, 0.5
600.0, 100.0, 0.3
600.0, 1.0, 0.3
600.0, 200.0, 0.3
600.0, 300.0, 0.4
600.0, 400.0, 0.5
650.0, 100.0, 0.3
650.0, 1.0, 0.2
650, 200, 0.3
650, 300, 0.3
650, 400, 0.4
700, 1, 0.2
700, 100, 0.3
700, 200, 0.3
700, 300, 0.3
700, 400, 0.3
700, 500, 0.5

